6062 INFO  a.a.t.k.a.core.solver.DefaultSolver: Decisions in 1.016s: 140
6110 INFO  a.a.t.k.a.core.solver.DefaultSolver: Overall performance: 140 decisions in 1.016s or 137.79527 decisions per sec. Overall replayed assignments: 655.
7057 INFO  a.a.t.k.a.core.solver.DefaultSolver: Decisions in 1.0s: 11
7057 INFO  a.a.t.k.a.core.solver.DefaultSolver: Overall performance: 151 decisions in 2.016s or 74.900795 decisions per sec. Overall replayed assignments: 824.
9052 INFO  a.a.t.k.a.core.solver.DefaultSolver: Decisions in 1.142s: 146
9053 INFO  a.a.t.k.a.core.solver.DefaultSolver: Overall performance: 146 decisions in 1.142s or 127.84589 decisions per sec. Overall replayed assignments: 751.
10192 INFO  a.a.t.k.a.core.solver.DefaultSolver: Decisions in 1.14s: 20
10193 INFO  a.a.t.k.a.core.solver.DefaultSolver: Overall performance: 166 decisions in 2.282s or 72.7432 decisions per sec. Overall replayed assignments: 1012.
16095 INFO  a.a.t.k.a.core.solver.DefaultSolver: Decisions in 1.0s: 183
16095 INFO  a.a.t.k.a.core.solver.DefaultSolver: Overall performance: 183 decisions in 1.0s or 183.0 decisions per sec. Overall replayed assignments: 206.
18487 INFO  a.a.t.k.a.core.solver.DefaultSolver: Decisions in 1.002s: 216
18488 INFO  a.a.t.k.a.core.solver.DefaultSolver: Overall performance: 216 decisions in 1.002s or 215.56886 decisions per sec. Overall replayed assignments: 228.
20461 INFO  a.a.t.k.a.core.solver.DefaultSolver: Decisions in 1.024s: 1
20461 INFO  a.a.t.k.a.core.solver.DefaultSolver: Overall performance: 1 decisions in 1.024s or 0.97656244 decisions per sec. Overall replayed assignments: 0.
22172 INFO  a.a.t.k.a.core.solver.DefaultSolver: Decisions in 1.169s: 1
22172 INFO  a.a.t.k.a.core.solver.DefaultSolver: Overall performance: 1 decisions in 1.169s or 0.855432 decisions per sec. Overall replayed assignments: 0.
23207 INFO  a.a.t.k.a.core.solver.DefaultSolver: Decisions in 1.035s: 0
23211 INFO  a.a.t.k.a.core.solver.DefaultSolver: Overall performance: 1 decisions in 2.204s or 0.4537205 decisions per sec. Overall replayed assignments: 0.
25040 INFO  a.a.t.k.a.core.solver.DefaultSolver: Decisions in 1.063s: 1
